ResponseId,Age,Gender ,Postcode,Edu Level,Risk Perception,WillCOV,WillPf,WillAsZ ,VAX,BIS,BAS,Frame
R_1H6mKqqCicSGFG9,31,1,2177,6,2,4,4,4,3.583333333,2.857142857,3,Positive
R_6lIKQuCYbUuxoqJ,36,2,5013,2,4,3,3,1,4.333333333,2.428571429,3.153846154,Positive
R_XKWU4eGtYIN4pcR,45,2,6271,1,5,5,5,2,3.833333333,3,3.076923077,Negative
R_2ta1bY4uTruPFV0,22,2,2761,3,5,4,4,3,2.333333333,3,2.615384615,Positive
R_3KvzJitLweQopoh,56,1,3152,5,2,5,5,1,4.166666667,3.571428571,3.846153846,Negative
R_2WZFt5B6fSTukBX,31,2,4700,4,3,2,2,1,2.916666667,3.428571429,2.846153846,Positive
R_78LxbYvt9d2FeSJ,37,2,4737,4,2,3,4,4,3.5,3.142857143,2.692307692,Positive
R_OCpQ3GkUIWJBhrX,75,1,4573,2,3,1,1,1,3.416666667,2.714285714,2.384615385,Positive
R_1DJcn0tbx3b8UHF,27,2,3730,3,3,4,4,4,1.75,2.857142857,2.461538462,Positive
R_2WUKPVzorDRsKiG,25,2,3429,2,4,3,3,3,5.166666667,3.571428571,2.923076923,Positive
R_ByOjY5WMuFDfiZb,46,1,4164,4,4,5,5,3,2.75,2.571428571,3,Negative
R_25sFOpgFmpdlnL2,38,1,2112,5,2,5,5,4,4.083333333,2.285714286,3.307692308,Negative
R_1CqZTBBfVWRWw3G,24,2,2289,4,3,5,5,2,2.333333333,3.714285714,3.307692308,Positive
R_2PwiLg496UVUNJ3,72,1,7322,2,2,4,5,4,4,3.285714286,3.538461538,Positive
R_1DNNFiJyRMXmjPj,21,1,3029,2,2,2,1,1,2.916666667,2.857142857,2.461538462,Negative
R_2CsoohY24sNBn8b,32,2,2480,4,3,3,4,3,4.083333333,3.142857143,2.846153846,Positive
R_2cAshNB7DAMAiYl,23,1,4503,2,5,4,5,1,3.5,2.857142857,2.846153846,Negative
R_3MhRzSErXCLoPAw,37,1,4500,3,4,4,5,1,2,2.857142857,3.153846154,Positive
R_269CqYOYfvwgu54,22,2,2450,2,3,1,1,1,4.583333333,2.857142857,2.923076923,Positive
R_VRoQcOPwSQat5aV,31,1,6060,4,2,5,5,2,1.916666667,2.857142857,3.076923077,Negative
R_3HF78FaFt7y6myG,28,1,6121,4,4,5,5,2,2.5,3,3.307692308,Positive
R_3R9DmOrG2GtTumn,31,1,3146,3,5,4,4,5,3.583333333,3,3.153846154,Negative
R_2c2CppaZfobTSeX,23,1,2206,4,3,3,3,3,3.333333333,2.285714286,2.076923077,Negative
R_vffskK3zWa7ClJT,50,1,4300,1,5,3,4,2,2.833333333,2.857142857,3,Negative
R_3Ej5cTuraxZ42gC,39,1,3024,3,2,1,1,1,5.25,3.428571429,2.846153846,Positive
R_332y9uQGcM5sbpl,30,1,3151,3,4,3,3,3,3.416666667,2.428571429,2.384615385,Positive
R_3nxgGAbjLQN6Nbc,31,1,2205,6,4,5,5,3,4,2.571428571,3.153846154,Positive
R_wYJYszZkJaCoHO9,70,1,4552,1,4,3,5,1,3.583333333,2.142857143,2.230769231,Negative
R_2pXcNWih35tm62N,64,1,5158,4,4,5,5,5,2.5,2.428571429,2.615384615,Negative
R_3FOmnvfiza0TU3b,19,1,4506,2,3,3,3,3,3.5,2.571428571,3.307692308,Positive
R_a609EETBh0qwMyl,27,1,2000,4,3,4,4,4,2.916666667,2.571428571,3.230769231,Negative
